Llegada_Acumulada;Tiempo_Servicio;Tiempo_Entrada;Tiempo_Salida;Elementos_Sistema;Tiempo_Sistema
15.436585;1.153745;15.436585;16.590329;1;1.153745
17.026040;0.288938;17.026040;17.314978;1;0.288938
17.530514;0.398878;17.530514;17.929392;1;0.398878
18.721882;0.119841;18.721882;18.841723;1;0.119841
19.042397;0.131451;19.042397;19.173847;1;0.131451
19.770372;0.030796;19.770372;19.801168;1;0.030796
19.805728;0.094255;19.805728;19.899982;1;0.094255
20.099136;0.496538;20.099136;20.595675;1;0.496538
20.231737;0.661302;20.595675;21.256976;2;1.025239
20.920187;0.201667;21.256976;21.458643;2;0.538456
20.986392;0.105324;21.458643;21.563967;3;0.577575
21.027941;0.110459;21.563967;21.674426;4;0.646485
21.133037;0.278180;21.674426;21.952606;5;0.819569
21.193379;0.093507;21.952606;22.046113;6;0.852734
22.476820;0.034039;22.476820;22.510858;1;0.034039
22.484432;0.355682;22.510858;22.866541;2;0.382109
22.540509;0.040455;22.866541;22.906995;2;0.366486
23.687241;0.228856;23.687241;23.916098;1;0.228856
25.647227;0.161977;25.647227;25.809204;1;0.161977
25.840884;0.064051;25.840884;25.904935;1;0.064051
25.982924;0.846411;25.982924;26.829335;1;0.846411
26.218401;0.344635;26.829335;27.173970;2;0.955569
26.459398;0.043360;27.173970;27.217330;3;0.757932
27.298964;0.116621;27.298964;27.415585;1;0.116621
27.636127;0.192034;27.636127;27.828161;1;0.192034
27.813250;0.166954;27.828161;27.995115;2;0.181865
27.879266;0.165261;27.995115;28.160376;2;0.281110
28.201204;0.141503;28.201204;28.342707;1;0.141503
28.506764;0.067250;28.506764;28.574014;1;0.067250
29.389395;0.030899;29.389395;29.420294;1;0.030899
29.463700;0.043729;29.463700;29.507429;1;0.043729
30.936415;0.005639;30.936415;30.942054;1;0.005639
31.484297;0.416643;31.484297;31.900940;1;0.416643
32.138381;0.433358;32.138381;32.571740;1;0.433358
32.333996;0.035088;32.571740;32.606827;2;0.272832
32.717703;0.093925;32.717703;32.811628;1;0.093925
33.052220;0.088927;33.052220;33.141148;1;0.088927
33.203613;0.022887;33.203613;33.226500;1;0.022887
33.477732;0.005989;33.477732;33.483721;1;0.005989
34.026744;0.155731;34.026744;34.182474;1;0.155731
34.892751;0.365071;34.892751;35.257822;1;0.365071
34.972436;0.034879;35.257822;35.292701;2;0.320265
34.995517;0.016769;35.292701;35.309470;3;0.313953
35.982462;0.062767;35.982462;36.045230;1;0.062767
37.014296;0.916527;37.014296;37.930823;1;0.916527
40.811970;0.274219;40.811970;41.086189;1;0.274219
41.078523;0.163490;41.086189;41.249679;2;0.171156
42.888462;0.127704;42.888462;43.016166;1;0.127704
43.009279;0.135986;43.016166;43.152151;2;0.142872
