Llegada_Acumulada;Tiempo_Servicio;Tiempo_Entrada;Tiempo_Salida;Elementos_Sistema;Tiempo_Sistema
7.718292;1.730617;7.718292;9.448909;1;1.730617
8.513020;0.433407;9.448909;9.882316;2;1.369296
8.765257;0.598317;9.882316;10.480633;3;1.715376
9.360941;0.179761;10.480633;10.660395;4;1.299454
9.521198;0.197176;10.660395;10.857571;4;1.336372
9.885186;0.046194;10.857571;10.903764;4;1.018578
9.902864;0.141382;10.903764;11.045146;5;1.142283
10.049568;0.744808;11.045146;11.789954;6;1.740386
10.115869;0.991953;11.789954;12.781907;7;2.666038
10.460093;0.302500;12.781907;13.084407;8;2.624313
10.493196;0.157986;13.084407;13.242393;8;2.749197
10.513971;0.165688;13.242393;13.408081;9;2.894110
10.566518;0.417270;13.408081;13.825351;10;3.258833
10.596689;0.140261;13.825351;13.965612;11;3.368922
11.238410;0.051058;13.965612;14.016670;8;2.778260
11.242216;0.533524;14.016670;14.550193;9;3.307977
11.270255;0.060682;14.550193;14.610876;10;3.340621
11.843621;0.343285;14.610876;14.954160;10;3.110540
12.823613;0.242966;14.954160;15.197126;10;2.373513
12.920442;0.096076;15.197126;15.293202;11;2.372760
12.991462;1.269617;15.293202;16.562819;12;3.571357
13.109200;0.516952;16.562819;17.079772;12;3.970571
13.229699;0.065040;17.079772;17.144812;13;3.915112
13.649482;0.174931;17.144812;17.319743;12;3.670261
13.818063;0.288052;17.319743;17.607794;13;3.789731
13.906625;0.250430;17.607794;17.858225;13;3.951600
13.939633;0.247892;17.858225;18.106117;14;4.166484
14.100602;0.212255;18.106117;18.318371;13;4.217769
14.253382;0.100875;18.318371;18.419246;14;4.165864
14.694698;0.046348;18.419246;18.465594;13;3.770897
14.731850;0.065594;18.465594;18.531188;14;3.799338
15.468207;0.008459;18.531188;18.539647;12;3.071440
15.742149;0.624965;18.539647;19.164612;13;3.422464
16.069191;0.650038;19.164612;19.814650;14;3.745459
16.166998;0.052631;19.814650;19.867281;15;3.700284
16.358852;0.140887;19.867281;20.008169;16;3.649317
16.526110;0.133391;20.008169;20.141560;17;3.615450
16.601806;0.034331;20.141560;20.175891;17;3.574084
16.738866;0.008984;20.175891;20.184874;18;3.446009
17.013372;0.233596;20.184874;20.418470;19;3.405098
17.446375;0.547607;20.418470;20.966077;17;3.519701
17.486218;0.052319;20.966077;21.018396;18;3.532178
17.497758;0.025153;21.018396;21.043549;19;3.545790
17.991231;0.094151;21.043549;21.137700;18;3.146469
18.507148;1.374790;21.137700;22.512490;15;4.005342
20.405985;0.411329;22.512490;22.923819;7;2.517834
20.539261;0.245235;22.923819;23.169053;7;2.629792
21.444231;0.191556;23.169053;23.360609;4;1.916378
21.504640;0.203979;23.360609;23.564588;5;2.059948
21.815922;0.039646;23.564588;23.604233;6;1.788311
21.976549;0.079220;23.604233;23.683454;7;1.706905
22.307318;0.061001;23.683454;23.744455;8;1.437137
22.497116;0.406141;23.744455;24.150596;9;1.653480
22.698316;0.079213;24.150596;24.229809;9;1.531492
22.706940;0.069651;24.229809;24.299459;10;1.592519
22.897802;0.035113;24.299459;24.334572;11;1.436770
23.400208;0.041793;24.334572;24.376365;9;0.976158
